index	topic	tweets	date	username	likes	retweets	replies	hashtags	class
40	Alat Bantu Dengar Jokowi	Lah, Botak koplak ini mau lawan pak Jokowi ? Kamu siapa ? Lawan saya aja yuk... saya tantang ngaji, dengan seni tilawah... saya tunggu jawabannya 1 pekan kedepan ya... mau pakai alat bantu dengar, juga silahkan... kalau perlu ajak sekalian @prabowo . Ga usah kabur ya..	2019-02-21 03:53:50+00:00	imbearly	0	0	0		Other 1
41	Alat Bantu Dengar Jokowi	Wkwkwk alat bantu dengar nya ternyata serius ya pak :( Btw itu pak @prabowo di di tes ngaji ama masyarakat aceh, blm hadir ampe skrg hehehehe	2019-02-21 00:34:55+00:00	gia_ajib	0	0	0		Other 1
42	Alat Bantu Dengar Jokowi	Gw kasih tau nih ya preettt ...kmrn yg debat sama klowor itu bukan Jokowi tapi Ethan hunt yg menyamar.pulpen alat bantu dengar sampai pemalsuan suara pun bener ...ayo retweet preettt sebarkan 😅😅😅	2019-02-20 11:27:28+00:00	alghazali_sami	0	0	0		False News
43	Alat Bantu Dengar Jokowi	#Informasi #Klarifikasi #Disinformasi #Capres #Jokowi #Memakai #Alat #Bantu #Saat #Debat #Pilpres Sejauh ini belum ada bukti sahih yang menguatkan dugaan bahwa Jokowi menggunakan alat bantu dengar dalam debat... https://www.facebook.com/TurnBackHoax/posts/2252568324795685	2019-02-20 06:13:29+00:00	IndonesianHoax	0	0	0	#Informasi #Klarifikasi #Disinformasi #Capres #Jokowi #Memakai #Alat #Bantu #Saat #Debat #Pilpres	True News
44	Alat Bantu Dengar Jokowi	"Kalau benar terbukti menggunakan alat bantu dengar... Maka Jokowi akan menjadi benar2 ""boneka"". Dan itu akan sangat berbahaya jika memimpin negeri sebesar dan sehebat Indonesia"	2019-02-19 23:18:13+00:00	Alwi97107197	0	0	0		Other 2
45	Alat Bantu Dengar Jokowi	"Meutya Viada Hafid mengatakan, isu penggunaan alat bantu dengar yang digunakan Jokowi dalam debat kedua itu isu jahat dan fitnah #JokowiMemberikanBukti #JokowiMenangPrabowoNyerah #JokowiLagi @jokowi @totosudarmongi @Jokowi_Amin @Yovita_Gurning https://www.kalomang.com/news/pilpres/read/3898101/timses-isu-earpiece-ke-jokowi-itu-sangat-jahat?HouseAds&amp;campaign=DebatCapres_Home_STM"	2019-02-19 12:34:32+00:00	Nena_MA_	0	0	0	#JokowiMemberikanBukti #JokowiMenangPrabowoNyerah #JokowiLagi	True News
46	Alat Bantu Dengar Jokowi	Video : Jokowi Bantah Menggunakan Alat Bantu Dengar Pada Saat Debat ke 2 Pilpres 2019 https://digtara.com/2019/02/19/jokowi-bantah-menggunakan-alat-bantu-dengar-pada-saat-debat-ke-2-pilpres-2019/	2019-02-19 08:47:29+00:00	digtara2	0	0	0		True News
47	Alat Bantu Dengar Jokowi	"Maruf Nantang Prabowo Bagikan Lahan ke Rakyat | Dituding Pakai Alat Bantu Dengar, Jokowi Geleng-geleng | 02 Protes ke KPU, Luhut Tegang. Videonya Disebar Andi Arief | #BacakoranRM… https://www.instagram.com/p/BuDcGEEH1xp/?utm_source=ig_twitter_share&amp;igshid=vsox0j4jtcoi"	2019-02-19 06:43:40+00:00	RakyatMerdeka99	0	0	0	#BacakoranRM	False News
48	Alat Bantu Dengar Jokowi	Pak @jokowi kok diwawancarai gini kesusahan jawabnya pak?? Beda banget dgn yg waktu debat, lancar banget... Hayoo ada apa nih... Apa memang bener tuh masalah alat bantu dengar? Harusnya tetap lancar pak. Tolong dijelaskan kenapa kaku jawabnya?? #2019PrabowoPresidenRI	2019-02-19 06:08:25+00:00	PBerkhianat	0	0	0	#2019PrabowoPresidenRI	Other 1
49	Alat Bantu Dengar Jokowi	Ga terima yah dg pernyataan2 pak Jokowi..ternyata pak Jokowi menguasai lapangan..dulu isunya bawa contekan..sekarang alat bantu dengar..	2019-02-19 05:18:21+00:00	suanta_murki	0	0	0		Other 1
50	Alat Bantu Dengar Jokowi	Jokowi Dicurigai Dibantu KPU dan Gunakan Alat Bantu Dengar Canggiih http://harianumum.com/baca/jokowi-dicurigai-dibantu-kpu-dan-gunakan-alat-bantu-dengar-canggiih	2019-02-19 04:33:12+00:00	faktadlmberita	0	0	0		Other 1
51	Alat Bantu Dengar Jokowi	Jokowi Bantah Pakai Alat Bantu Dengar Canggih di Debat Capres II http://harianumum.com/baca/jokowi-bantah-pakai-alat-bantu-dengar-canggih-di-debat-capres-ii	2019-02-19 04:32:35+00:00	faktadlmberita	0	0	0		True News
52	Alat Bantu Dengar Jokowi	Tak Benar Jokowi Pakai Alat Bantu Dengar https://digtara.com/2019/02/19/tak-benar-jokowi-pakai-alat-bantu-dengar/	2019-02-19 02:27:41+00:00	digtara2	0	0	0		True News
53	Alat Bantu Dengar Jokowi	Debat apaan kemarin itu, apa yg dibicarakan Jokowi murni bukan dr hasil pemikirannya dia dpt dikte dr timnya menggunakan ear phone/alat bantu dengar ngomong unicorn saja tdk bisa jangan2 dia tdk mengerti sama sekali	2019-02-19 02:20:59+00:00	RanuWasisto	0	0	0		Other 1
54	Alat Bantu Dengar Jokowi	JOKOWI PAKAI ALAT BANTU DENGAR BUAT APA? BUATHUKMU ITU yang perlu dibantu mikir. Utek koq gur sak kepelan cindhil...! 	2019-02-19 00:25:54+00:00	abang_rahino	0	0	0		False News
55	Alat Bantu Dengar Jokowi	Calon Presiden Nomer urut 01 Joko Widodo menepis kabar menggunakan alat bantu dengar atau earpiece saat debat kedua yang dilaksanakan di Hotel Sultan. Dia menilai hal tersebut adalah fitnah yang tidak bermutu. #jokowi #prabowo #pilpres2019 #viral #berita	2019-02-18 22:40:01+00:00	peristiwaindo	0	0	0	#jokowi #prabowo #pilpres2019 #viral #berita	True News
56	Alat Bantu Dengar Jokowi	Fitnah kembali ditujukan kepada calon presiden 01 Joko Widodo (Jokowi) yang disebut menggunakan alat bantu dengar #TerimakasihPenjelasannya	2019-02-18 12:38:29+00:00	FidelmaFrida	0	0	0	#TerimakasihPenjelasannya	True News
57	Alat Bantu Dengar Jokowi	Dilihat dari cara ngomng luas lahan, kok seperti nya pak jokowi sambil mendengarkan sesuatu. Tidak langsung bicara luas lahan nya. Seperti menggunakan alat bantu dengar	2019-02-18 12:01:51+00:00	Joni79503622	0	0	0		Other 1
58	Alat Bantu Dengar Jokowi	Beritanya jokowi pakai alat bantu dengar?.	2019-02-18 11:33:27+00:00	de_suryanto	0	0	0		True News
59	Alat Bantu Dengar Jokowi	Sehabis debat semalam muncul kolase foto Jokowi seolah-olah menggunakan alat bantu dengar yang terhubung dengan pulpen di tangannya. #SavePulpen	2019-02-18 11:29:05+00:00	wahyudiokok	0	0	0	#SavePulpen	True News
60	Alat Bantu Dengar Jokowi	Soal Tuduhan Gunakan Alat Bantu Dengar, Jokowi : Fitnah Seperti Itu Jangan Diteruskan - Tajuk Online https://tajukonline.com/2019/02/18/soal-tuduhan-gunakan-alat-bantu-dengar-jokowi-fitnah-seperti-itu-jangan-diteruskan/	2019-02-18 10:30:01+00:00	aiiy_dodoly	0	0	0		Other 1
61	Alat Bantu Dengar Jokowi	Framing saat ini.. 1. Menyerang pribadi 2. Menggunakan alat bantu dengar tersembunyi. #oposisiNOLgagasan	2019-02-18 09:04:33+00:00	muniwatonnyata	0	0	0	#oposisiNOLgagasan	Other 1
62	Alat Bantu Dengar Jokowi	Sekarang mereka sedang menyebarkan HAOX jokowi pake alat bantu dengar. Mereka bikin pengalihan isu krn capres nya melempem	2019-02-18 05:37:06+00:00	don_rahmad	0	0	0		True News
63	Alat Bantu Dengar Jokowi	yang bilang pak jokowi pake alat bantu dengar mungkin terkejit dengan kemampuan jokowi yg punya data dan melafalkannya dengan fasih😂😂	2019-02-18 05:13:05+00:00	morasyhroni	0	0	0		True News
64	Alat Bantu Dengar Jokowi	Ooo jadi sekarang bukan ngebahasa contekan di atas meja ya? Yang mana prabowo punya dan jokowi ga punya Jadi sblm di bully warganet krn contekan wowo di mejanya, kubu 02 segera menghembuskan hoax jokowi menggunakan alat bantu dengar Hallaaaahhhh.. Capek deh ngeladeni kampret	2019-02-18 05:07:50+00:00	diyanmaliyana	0	0	0		Other 1
65	Alat Bantu Dengar Jokowi	Biasa..kalo sdh terpojok kampret2 mengeluarkan jurus2 fitnah..yg dipakai skrg alat bantu dengar..wwkk wwkk kasian	2019-02-18 04:39:15+00:00	leonsys0305	0	0	0		True News
66	Alat Bantu Dengar Jokowi	"apakah @jokowi menggunakan alat bantu dengar??jujur itu lebih baik,atau emang menggunakan alat bantu dengar bagi ""maaf"" untuk penderita tuna rungu??? keppo sayah!!!!"	2019-02-18 04:32:05+00:00	boyamin_alhabsy	0	0	0		Other 1
67	Alat Bantu Dengar Jokowi	Gamau kemakan isu jokowi pake alat bantu dengar td malam. Maunya lngsg para pakar yg mengerti soal ini menganalisa dan bicara fakta.	2019-02-18 04:19:34+00:00	ayyaassamidii	0	0	0		True News
68	Alat Bantu Dengar Jokowi	Debat semalem pak jokowi gak pake alat bantu dengar. Pak Jokowi sebenarnya adalah X-25, dia punya dna wolverine sehingga bisa mengeluarkan cakar dari sela-sela jarinya.	2019-02-18 04:00:15+00:00	rkadty	0	0	0		True News
69	Alat Bantu Dengar Jokowi	TKN jokowi sudah punya soal jawaban. Soal sdh dibocorkan. N jokowi menggunakan alat bantu dengar. Masuk akal kalau dilihat dari body language jokowi yg sangat percaya diri. Beda dgn body language di debat 1.	2019-02-18 03:33:57+00:00	EatSoto	0	0	0		Other 2
70	Alat Bantu Dengar Jokowi	Positif aja,mugkin pak jokowi pendengarannya lg kurang bagus,jd harus pake alat bantu dengar👻👻👻#JokowiBohongLagi	2019-02-18 02:48:55+00:00	aryy_2yanto	0	0	0	#JokowiBohongLagi	Other 1
71	Alat Bantu Dengar Jokowi	Menurut Pak @PriyoBudiS, apakah dalam debat semalam, Pak @jokowi menggunakan alat bantu dengar, seperti yg dihembuskan oleh warganet?	2019-02-18 02:23:41+00:00	AntoniusMade	0	0	0		Other 1
72	Alat Bantu Dengar Jokowi	Jokowi Tampil Ciamik Kalahkan Prabowo, Pendukung 02 Mulai Tebar Isu Alat Bantu Dengar https://www.suarasosmed.info/2019/02/jokowi-tampil-ciamik-kalahkan-prabowo.html	2019-02-18 02:23:24+00:00	suarasosmed	0	0	0		True News
73	Alat Bantu Dengar Jokowi	"Seperti nya ada yg butuh alat bantu dengar, (ABD) Biat lebih kelihatan ""dungu"" nya #TetapPrabowo"	2019-02-18 01:02:55+00:00	WangwungBy	0	0	0	#TetapPrabowo	Other 1
74	Alat Bantu Dengar Jokowi	"Kenapa di TeEl saya berseliweran tentang ""kuping"" pak @jokowi selama debat...🤔 Ada yang bilang bahwa beliau memakai ""alat bantu"" dengar selama debat....🤔 Saya rasa itu tidak mungkin, karena yg lebih ""membutuhkan"" alat itu adalah pelawak Haji Bolot...😂😂 #2019JanganNaif"	2019-02-18 00:10:10+00:00	dokyong_	0	0	0	#2019JanganNaif	True News
75	Ali Ngabalin Sakit Stroke	#Ngabalin becandanye norak.. pura2 sakit stroke	2019-02-11 02:02:01+00:00	eddypasaribu	1	1	1	#Ngabalin	True News
76	Ali Ngabalin Sakit Stroke	Ngabalin Dikabarkan Stroke dan Masuk Rumah Sakit https://klikapa.com/read/11291/ngabalindikabarkanstrokedanmasukrumahsakit	2019-02-11 00:56:07+00:00	malangpostgrup	1	1	0		Other 2
77	Ali Ngabalin Sakit Stroke	"#AliMochtarNgabalin | Dalam video itu, terlihat Ali Ngabalin memberikan sapaan. ""Hai guys saya dalam keadaan sehat wal'afiat, hari ini 11 Februari 2019, banyak orang bilang saya sakit stroke, makan ente punya stroke,"" ujar Ngabalin. "	2019-02-12 05:29:18+00:00	serambinews	1	0	0	#AliMochtarNgabalin	True News
78	Ali Ngabalin Sakit Stroke	Bantah Kena Stroke, Ngabalin: Ini Saya Bisa Lari-lari, Saya Enggak Sakit http://dlvr.it/QyfbK4	2019-02-11 15:11:04+00:00	ahmadzulfian83	1	0	0		True News
79	Ali Ngabalin Sakit Stroke	Ngabalin Dikabarkan Stroke dan Masuk Rumah Sakit https://www.nusanews.id/2019/02/ngabalin-dikabarkan-stroke-dan-masuk.html	2019-02-11 11:50:48+00:00	demokrasicoid	1	0	0		Other 2
80	Ali Ngabalin Sakit Stroke	Dikabarkan Sakit Stroke, Ngabalin: Makan Tuh Ente Punya Stroke! 	2019-02-11 11:22:02+00:00	TPK_RI	1	0	0		True News
81	Ali Ngabalin Sakit Stroke	Jgn sampai FITNAH/KABO/HOAX https://www.zonasatu.co.id/2019/02/beredar-kabar-ali-ngabalin-masuk-rumah.html#L8bVxE2mIGLRAsgQ.01 Beredar Kabar Ali Ngabalin Masuk Rumah Sakit Karena Stroke	2019-02-11 09:37:29+00:00	irwank2k2	1	0	0		Other 2
82	Ali Ngabalin Sakit Stroke	Dirumorkan Kena Penyakit Stroke, Ali Ngabalin Bantah dan Unggah Foto saat di Rumah Sakit http://wow.tribunnews.com/s/cfheh	2019-02-11 07:19:51+00:00	TribunWow	1	0	0		True News
83	Ali Ngabalin Sakit Stroke	"Mendustakan Firman Allah apalagi menjadikan senjata utk membela kesalahan diri dg firmanNya adl dosa yg sangat besar NAUDZUBILLAH TSUMMA Naudzubillah ""Ngabalin Dikabarkan Stroke dan Masuk Rumah Sakit"" "	2019-02-11 02:05:18+00:00	SY_Bwz	1	0	0		True News
84	Ali Ngabalin Sakit Stroke	Ngabalin Dikabarkan Stroke dan Masuk Rumah Sakit http://www.repelita.com/ngabalin-dikabarkan-stroke-dan-masuk-rumah-sakit/ lewat @repelitaonline	2019-02-11 00:10:23+00:00	Ikram83675274	1	0	0		Other 2
85	Ali Ngabalin Sakit Stroke	[[ Ngabalin Dikabarkan Stroke dan Masuk Rumah Sakit https://goo.gl/fb/M2EiAs	2019-02-16 02:33:51+00:00	Konfrontasi_co	0	0	0		Other 2
86	Ali Ngabalin Sakit Stroke	Hadiri Dialog Politik, Ali Mochtar Ngabalin: Kabar Saya Sakit Stroke adalah Hoax http://koranjurnal.co.id/2019/02/14/hadiri-dialog-politik-ali-mochtar-ngabalin-kabar-saya-sakit-stroke-adalah-hoax/ lewat @Koranjurnal.co.id	2019-02-14 21:45:12+00:00	GusDinSurabaya	0	0	0		True News
87	Ali Ngabalin Sakit Stroke	Talk Show Politisi Muda Rumah Aspirasi Rakyat, Ali Muhtar Ngabalin Bantah Hoak Alami Sakit Stroke https://rumahaspirasirakyat01.id/politik/talk-show-politisi-muda-rumah-aspirasi-rakyat-ali-muhtar-ngabalin-bantah-hoak-alami-sakit-stroke/ lewat @https://twitter.com/rarakyat01?lang=en	2019-02-14 21:44:19+00:00	GusDinSurabaya	0	0	0		True News
88	Ali Ngabalin Sakit Stroke	Saat Hadir di Talk Show Rumah Aspirasi Rakyat, Ali Muhtar Ngabalin Bantah Hoak Alami Sakit Stroke 	2019-02-14 21:43:19+00:00	GusDinSurabaya	0	0	0		True News
89	Ali Ngabalin Sakit Stroke	"KOCAK! Ali Mochtar Ngabalin Lompat-lompat di Kantor Staf Presiden, Bantah Isu Dirinya Sakit Stroke https://www.nontonvideo.id/view/kocak-ali-mochtar-ngabalin-lompat-lompat-di-kantor-staf-presiden-bantah-isu-dirinya-sakit-stroke/iYRn5?utm_source=dlvr.it&amp;utm_medium=facebook"	2019-02-14 09:28:42+00:00	re6arrock	0	0	0		True News
90	Ali Ngabalin Sakit Stroke	Pak ngabalin ternyata bukan sakit stroke tp sakit jiwa	2019-02-13 23:55:19+00:00	Andar38416193	0	0	0		True News
