index	topic	tweets	date	username	likes	retweets	replies	hashtags	class
27	Ali Ngabalin Sakit Stroke	Dengan santai , Pak Ngabalin menanggapi fitnahan tentang dirinya, yang di hembuskan oleh kampret yang katanya sakit stroke. Pd hal Pak Ngabali aehat walafiat....ayo Pak semangat utk mendukung dan memenangkan Pak Jokowi, biar anjing menggongg, dan berkoar-koar....ttp #JokowiLagi	2019-02-12 03:00:52+00:00	murny7	204	77	12	#JokowiLagi	True News
28	Ali Ngabalin Sakit Stroke	Ali Ngabalin Dirumorkan Masuk Rumah Sakit Karena Stroke, Ternyata Ini Fakta Sesungguhnya 	2019-02-12 10:30:07+00:00	tribunnews	12	5	6		True News
29	Ali Ngabalin Sakit Stroke	Beredar Kabar Ali Ngabalin Masuk Rumah Sakit Karena Stroke https://www.zonasatu.co.id/2019/02/beredar-kabar-ali-ngabalin-masuk-rumah.html#L8bVxE2mIGLRAsgQ.01	2019-02-11 06:52:17+00:00	ZonaSatu	5	4	5		Other 2
30	Ali Ngabalin Sakit Stroke	Dikabarkan Sakit Stroke, Ali Ngabalin: Ini Saya Bisa Loncat-loncat http://dlvr.it/Qycv6p	2019-02-11 05:13:02+00:00	VIVAcoid	15	3	9		True News
31	Ali Ngabalin Sakit Stroke	Kalau @DivHumas_Polri ini cerdas, kasus ngabalin pura2 sakit stroke sampai melibatkan Presiden itu jelas termasuk kategori Hoax... ah sudahlah	2019-02-16 06:03:03+00:00	bungdree	7	2	0		True News
32	Ali Ngabalin Sakit Stroke	Sudah saya ingatkan, jangan sebar berita Ngabalin Sakit karena Stroke. 👇 https://twitter.com/yadhijashar/status/1094653298915737600 Waktu itu dia ke rumkit untuk cek jantung. Setelah saya menonton video Ngabalin yang ngeselin ini 👇 saya doakan, semoga Ngabalin tak kena stroke! Amin. #ILCPotretHukumIndonesia	2019-02-12 15:05:09+00:00	yadhijashar	6	0	9	#ILCPotretHukumIndonesia	True News
33	Ali Ngabalin Sakit Stroke	Tenang koh kalo ada waktu pasti direspon. Sy msh sehal wal afiat. Oiya kabarnya ali m ngabalin lg sakit kena stroke ya? Duuhh... kecapean lawan kampret sampe tepar. Khawatir yg di bwh jg kena storek koh, lihat aja ekspresinya udh mengkhawatirkan. #PrabowoSandiUntukIndonesia	2019-02-11 15:40:11+00:00	kuyabulus	3	0	5	#PrabowoSandiUntukIndonesia	False News
34	Ali Ngabalin Sakit Stroke	Ya Rabb Allah azza wajalla, swmoga Engkau mengijabah doa ngabalin untuk sakit stroke, sebagaimana keinginan utk diberitakan. Aamin.	2019-02-12 14:23:46+00:00	PramoeRahardjo	2	0	0		Other 1
35	Al-Jazeera Menyiarkan Kecurangan Pemilu	[Fakta atau Hoaks] Benarkah TV Al-Jazeera Telah Menyiarkan Kecurangan Pemilu di Indonesia? Cek Faktanya disini: http://bit.ly/30pLztp	2019-05-16 05:45:04+00:00	tempodotco	4	3	0		False News
36	Al-Jazeera Menyiarkan Kecurangan Pemilu	[KELIRU] Al-Jazeera TV tidak pernah menyiarkan soal kecurangan pemilu di Indonesia. Artikel lengkap di laman http://cekfakta.tempo.co: https://cekfakta.tempo.co/fakta/282/fakta-atau-hoaks-benarkah-tv-al-jazeera-telah-menyiarkan-kecurangan-pemilu-di-indonesia #cekfakta #tempocekfakta #PeriksaFakta #KamiBersamaCekFakta	2019-05-15 13:04:04+00:00	tempocekfakta	2	2	1	#cekfakta #tempocekfakta #PeriksaFakta #KamiBersamaCekFakta	True News
37	Alumni UNS Dukung Jokowi	"http://news.detik.com/read/2019/01/14/152604/4383978/10/akbar-tandjung-26-januari-alumni-uns-deklarasi-dukung-jokowi ""Itu tanggal 26 Januari, alumni UNS berikan dukungan ke Pak Jokowi, saya juga akan datang,"" kata Akbar Tandjung. Baca di sini:"	2019-01-14 08:45:52+00:00	p_politik	134	46	5		False News
38	Alumni UNS Dukung Jokowi	"Akbar Tandjung: 26 Januari Alumni UNS Deklarasi Dukung Jokowi https://news.detik.com/berita/d-4383978/akbar-tandjung-26-januari-alumni-uns-deklarasi-dukung-jokowi ""Itu tanggal 26 Januari, alumni UNS berikan dukungan ke Pak Jokowi, saya juga akan datang,"" kata Akbar Tandjung. Baca di sini:"	2019-01-14 09:28:24+00:00	triwul82	29	16	1		False News
39	Alumni UNS Dukung Jokowi	Dukungan Jokowi - Ma'aruf Amin makin tak terbendung. Alumni UNS Solo tak mau ketinggalan untuk mendeklarasikan dukungan ke Jokowi-Ma'aruf Amin. #01JokowinPasti #2019JokowiPresidenRI @MahesaTiwi @_ANDRE_OCTA_ @NurmaTgr @FaGtng @azterix88 @maspiyuuu @TheArieAir @habibthink	2019-01-16 07:29:57+00:00	miauwww08	7	6	0	#01JokowinPasti #2019JokowiPresidenRI	False News
40	Alumni UNS Dukung Jokowi	Akbar Tandjung: 26 Januari Alumni UNS Deklarasi Dukung Jokowi http://detik.id/6A438A	2019-01-14 09:43:20+00:00	teh_tariq	5	3	0		False News
41	Alumni UNS Dukung Jokowi	Hadirilah Deklarasi Dukungan Alumni UNS Untuk : Jokowi - Amin 01, Indonesia Maju. 🇮🇩 #Jokowi1PeriodeLagiLagi #No1 #IstanaMerdeka #MarufAmin1KaliLagi #2019TetapJokowi #jokowiamin #2019JokowiLagi #jokowi #jokowidodoMaRuf2019 #jokowipresidenku #presidenjokowi #ahok	2019-01-14 02:13:47+00:00	TariAnggraini78	4	0	1	#Jokowi1PeriodeLagiLagi #No1 #IstanaMerdeka #MarufAmin1KaliLagi #2019TetapJokowi #jokowiamin #2019JokowiLagi #jokowi #jokowidodoMaRuf2019 #jokowipresidenku #presidenjokowi #ahok	False News
42	Anak MTS Bobol Situs KPU	Anak Kelas ll MTS Bobol Situs KPU Pemilu 2019, HOAX! Hati-hati #HoaxPemilu karena #FaktaPemilu kejadian tersebut tahun 2017, web yang dimasukinya adalah http://ppid.kpu.go.id, bukan web Pemilu 2019. #KPUMelayani	2019-05-03 08:10:35+00:00	KPU_ID	187	143	219	#HoaxPemilu #FaktaPemilu #KPUMelayani	True News
43	Anak MTS Bobol Situs KPU	Masya Allah.. Luar Biasa Anak Kelas 2 MTS Bobol Sistem IT KPU! Apalagi Klo Sekelas Hacker Dunia!😎 Halo Apa Kabar @KPU_ID @bawaslu_RI Apakah ini Kesengajaan!!?? 24,8T Sekelas Warnet!??? #AuditForensikITKPU	2019-05-02 04:53:45+00:00	nndid17042019	150	73	9	#AuditForensikITKPU	False News
44	Anak MTS Bobol Situs KPU	[BENAR] Klarifikasi Putra Aji Adhari, Anak Kelas ll MTS yang “Bobol” Situs KPU Pemilu 2019 Melalui akun instagramnya, Putra Aji Adhari menyatakan bahwa dia tidak melakukan “Penetrasi Testing” pada situs ... Selengkapnya di http://bit.ly/2UZNb9e #LawanHoax	2019-05-04 11:19:36+00:00	TurnBackHoax	20	21	0	#LawanHoax	True News
45	Anak MTS Bobol Situs KPU	Waauuw.. amajing.. Santri (Putra) kls II MTs MAMPU BOBOL situs @kpu_ri Putra : Sub Domain situs KPU bagian impek Darabase DPT DAPAT DITAMBAH DPT sesuai keinginan admin. Wow kecurangan udah di rancang sjk swal sistem database KPU. Sub donain Database KPU KURANG AMAN @mohmahfudmd	2019-05-02 08:39:52+00:00	bangyupi_006	21	12	1		False News
46	Anak MTS Bobol Situs KPU	Anak Kelas ll MTS Bobol Situs @KPU_ID Pemilu 2019, HOAX! Hati-hati #HoaxPemilu karena #FaktaPemilu kejadian tersebut tahun 2017, web yang dimasukinya adalah http://ppid.kpu.go.id , bukan web Pemilu 2019. #RadioPemilu2019	2019-05-03 17:21:31+00:00	RadioElshinta	9	6	0	#HoaxPemilu #FaktaPemilu #RadioPemilu2019	True News
47	Anak MTS Bobol Situs KPU	Anak kelas ll MTs bobol situs KPU !! Websete KPU masih lemah. Halo..apa kabar @KPU_ID ..🙋‍♂️🙋‍♂️.	2019-05-02 04:38:01+00:00	ALIshaqy6	5	5	1		False News
48	Anak MTS Bobol Situs KPU	Beliau bicara dari sisi biaya yang dikeluarkan KPU diselaraskan dengan system yang ada di KPU sekarang, seminggu yang lalu di bertaSatu ada interview dengan anak MTs yang bisa bobol server KPU	2019-05-06 11:42:51+00:00	RiozPharoz	0	0	2		False News
49	Anak MTS Bobol Situs KPU	😏👉kalo yg input error' situs server @KPU_ID aja bs di bobol sm bocah kelas II MTS. Apa kalian pernah dengar server Alfa/Indomaret kebobolan. Masa iya kalah sm itu dgn anggaran 24 triliyun lohh	2019-05-03 03:58:15+00:00	Panglima_Rantau	0	0	2		False News
50	Anggaran Kotak Suara Kardus	Biaya Triliunan hasilnya kotak suara penyok!! Jokowi hebat.. ga sekalian muka dia d bungkus kardus biar ga bikin mual 🤮🤮🤮 	2019-04-09 07:00:33+00:00	Chan11Vero	3	2	1		Misleading News
51	Anggaran Kotak Suara Kardus	"Biaya 2014, (jaman SBY) Rp 7,9 T, Menggunakan kotak aluminium. Di 2019 ini Rp 24,9 T pakai KARDUS. Dan dia bilang; hebat &amp; hemat. Dan kita diminta; bersorak tepuk tangan kegirangan... Nalarnya bagaimana cobak ??"	2019-04-10 03:21:18+00:00	sahabattaqwa1	2	2	1		Misleading News
52	Anggaran Kotak Suara Kardus	Nangis 😭😭😭😭 gue pilpres biaya trilyunan, hasilnya kotak suara dari kardus ..	2019-04-08 23:04:50+00:00	densbramtian1	8	1	1		Misleading News
53	Anggaran Kotak Suara Kardus	Harus ada audit segera dibalik melonjaknya biaya logistik Pilpres di KPU yg telah mengganti kotak aluminum dg kardus kotak suara, mengingat ramainya surat2 suara yg susah tercoblos di Malaysia,, *Itupun baru yg ketahuan,, @fadlizon @Fahrihamzah	2019-04-11 10:53:51+00:00	Andi_ZaKi	2	1	0		Other 2
54	Anggaran Kotak Suara Kardus	Kotak boleh kardus, tp biaya nya jg ga kalah dg yg pakai kotak aluminium koq 😆😆 #01MainCurang	2019-04-11 13:17:20+00:00	MyNameIsDC	2	0	0	#01MainCurang	Misleading News
55	Anggaran Kotak Suara Kardus	Kotak suara dari kardus, itu yg merendahkan proses pemilu berbiaya puluhan trilyun. Lagian, kenapa gak diaudit aja sih sistem IT KPU ini. Biaya puluhan trilyun uang rakyat, wajar rakyat minta diaudit.	2019-04-06 05:58:48+00:00	rifkychaerul	2	0	0		Misleading News
56	Anggaran Militer Indonesia Kecil	waktu bilang utang terlalu besar pakai data nilai nominal, gak mau pake rasio utang/GDP. waktu bilang anggaran militer terlalu kecil pake data rasio anggaran/GDP gak pakai nilai nominal 😀	2019-03-31 00:38:05+00:00	Aswicahyono	456	259	18		Other 2
57	Anggaran Militer Indonesia Kecil	dengan doktrin ini, semua negara di kawasan jadi terjebak prisoner dilemma. perlombaan senjata jadi tak terkendali. akibatnya kawasan justru jadi makin rawan konflik. anggaran militer jadi semakin besar dan anggaran untuk menyejahterakan rakyat jadi makin kecil 	2019-03-30 18:32:12+00:00	Aswicahyono	17	20	1		Other 1
58	Anggaran Militer Indonesia Kecil	[Fakta atau Hoaks] Benarkah anggaran militer Indonesia kecil seperti disampaikan Capres 02 Prabowo Subianto? https://cekfakta.tempo.co/fakta/175/fakta-atau-hoaks-benarkah-anggaran-militer-indonesia-kecil-seperti-disampaikan-capres-02-prabowo-subianto #KepoinPemilu #Pemilunesia	2019-03-30 14:43:42+00:00	tempodotco	7	5	7	#KepoinPemilu #Pemilunesia	True News
59	Anggaran Militer Indonesia Kecil	Prabowo : anggaran pertahanan kita terlalu kecil, pertahanan kita lemah me : kekuatan militer kita berada diatas korut, yg mana korut memiliki senjata nuklir, jadi, mananya yg lemah #DebatCapres2019	2019-03-30 13:32:56+00:00	jowotulen101	16	2	1	#DebatCapres2019	True News
60	Anggaran Militer Indonesia Kecil	Prabowo : anggaran pertahanan kita terlalu kecil, pertahanan kita lemah me : kekuatan militer kita berada diatas korut, yg mana korut memiliki senjata nuklir, jadi, mananya yg lemah https://www.globalfirepower.com/countries-listing.asp	2019-03-30 16:08:25+00:00	romiemocka	3	2	0		True News
61	Anggaran Militer Indonesia Kecil	Calon presiden petahana 01 Joko Widodo bilang meski persentase anggaran pertahanan Indonesia lebih kecil dari Singapura, tapi kekuatan militer Indonesia tidak kalah. #LiveBlog #DebatPilpres2019	2019-03-30 14:56:22+00:00	LokadataID	0	2	1	#LiveBlog #DebatPilpres2019	True News
62	Angka Kematian Ibu Indonesia	Apakah Posyandu punya korelasi dengan angka kematian Ibu? #DebatCawapres2019 #CatatanNajwaXTirtoid	2019-03-17 14:30:53+00:00	TirtoID	152	91	19	#DebatCawapres2019 #CatatanNajwaXTirtoid	Other 1
63	Angka Kematian Ibu Indonesia	Kata @sandiuno, Angka kematian ibu yang sekarang masih berada di atas 300 jiwa. Bagaimana kata @kompasdata? #DebatPilpres2019 #RumahPemilu #KasihPilihan	2019-03-17 14:14:21+00:00	kompascom	27	13	13	#DebatPilpres2019 #RumahPemilu #KasihPilihan	True News
64	Angka Kematian Ibu Indonesia	Kata @sandiuno, Angka kematian ibu yang sekarang masih berada di atas 300 jiwa. Bagaimana data dari Litbang Kompas @KompasData? #DebatCawapres2019 #DebatKetigaCawapres #RumahPemilu #MudaMemilih	2019-03-17 14:17:58+00:00	KompasTV	10	12	2	#DebatCawapres2019 #DebatKetigaCawapres #RumahPemilu #MudaMemilih	True News
65	Angka Kematian Ibu Indonesia	Sementara visi SSU lebih rasional, komprehensif dan segar. Perbaikan administrasi untuk lebih melayani masyarakat. Penurunan angka kematian ibu yang terabaikan di era Jokowi dan gerakan promotif kesehatan. Kesimpulan: @sandiuno lagi-lagi menang telak. SSU - MA 3:0.	2019-03-17 13:55:33+00:00	Zumpio	15	10	0		True News
66	Angka Kematian Ibu Indonesia	Cawapres @sandiuno mengatakan angka kematian ibu saat ini masih di angka 300 per 100 ribu. Benarkah datanya? #CekData berikut.	2019-03-18 01:56:29+00:00	KATADATAcoid	13	8	1	#CekData	True News
67	Angka Kematian Ibu Indonesia	Prabowo-Sandi meyakini generasi muda ibu-ibu, perempuan di posyandu jika ditambah anggarannya mereka bisa menurunkan angka kematian ibu dan menaikkan gizi anak jika diberikan program yang bersinergi.#DebatCawapres2019 #DebatKetigaPilpres2019 #DebatPilpres2019	2019-03-17 14:16:06+00:00	KompasTV	17	7	5	#DebatCawapres2019 #DebatKetigaPilpres2019 #DebatPilpres2019	True News
68	Angka Kematian Ibu Indonesia	#cekfaktadebatpilpres2019 #SandiagaUno #angkakematianibu 	2019-03-18 01:37:29+00:00	tempocekfakta	9	7	1	#cekfaktadebatpilpres2019 #SandiagaUno #angkakematianibu	Other 1
69	Angka Kematian Ibu Indonesia	Di Belitung Timur-Babel, angka kematian ibu hamil meningkat https://www.antaranews.com/berita/812410/di-belitung-timur-babel-angka-kematian-ibu-hamil-meningkat	2019-03-19 09:12:02+00:00	antaranews	1	4	0		Other 1
70	Angka Kematian Ibu Indonesia	"""Angka kematian ibu yang sekarang masih berada di atas 300 jiwa."" @sandiuno Bagaimana data pada #LitbangKompas? #KompasData #DebatKetigaPilpres2019 #DebatPilpres2019 #MudaMemilih #DebatCawapres"	2019-03-17 14:17:50+00:00	KompasData	12	2	1	#LitbangKompas #KompasData #DebatKetigaPilpres2019 #DebatPilpres2019 #MudaMemilih #DebatCawapres	True News
71	Angka Kematian Ibu Indonesia	"Pemerintahan @jokowi juga berhasil menurunkan angka kematian Ibu &amp; Anak. Proses persalinan juga dibantu o/ tenaga kesehatan dan cakupan imunisasi dasar lengkap. #MemilihYangPasti"	2019-03-22 15:15:00+00:00	megantara121	1	2	0	#MemilihYangPasti	False News
72	Angka Kematian Ibu Indonesia	SANDI: Angka kematian ibu melahirkan diatas 300 #DebatCawapres2019 Berikut faktanya https://data.unicef.org/wp-content/uploads/country_profiles/Indonesia/country%20profile_IDN.pdf	2019-03-17 13:53:20+00:00	idn_facts	1	1	2	#DebatCawapres2019	True News
73	Angka Kematian Ibu Indonesia	Pemerintahan Jokowi juga berhasil menurunkan angka kematian Ibu dan Anak. #MilihYankPasti	2019-03-22 12:19:33+00:00	Neylbi04_	2	0	1	#MilihYankPasti	False News
74	Angka Kematian Ibu Indonesia	"Dlm rangka meningkatkan koordinasi & kerjasama dlm percepatan penurunan AKI (Angka Kematian Ibu) &amp; AKB (Angka Kematian Bayi) di Jateng - menuju zero AKI dan AKB - @dp3akb_jtg tlh menyelenggarakan Rakor Gerakan Sayang Ibu dan Bayi (GSIB) pada tanggal 19-20 Maret 2019 di Semarang "	2019-03-21 08:46:03+00:00	dp3ap2kb_jateng	2	0	0		Other 1
75	Angka Kematian Ibu Indonesia	Posyandu itu hanya untuk ibu2 yg punya balita, angka kematian ibu itu dinilai dari ibu yang meninggal saat sedang hamil, melahirkan dan masa nifas. Jadi seharusnya tidak ada korelasi nya mbak hehe	2019-03-18 02:26:14+00:00	zakiymn	0	0	2		Other 1
76	Angka Nol Nomor Urut	"jadi kalau sdh angka ini akan muncul kembali ke angka 0. Saya tdk paham IT tapi untuk pencegahan kecurangan perlu jauh2 hari dirubah, jadi tdk usah pakai 0 didepannya. Mengapa KPU kok mau nurutin kemauan petahanan pakai 0 didepannya. Tolong sampaikan kpd pak Prabowo&amp; pak sandi"	2018-09-25 06:16:20+00:00	NinukHartomo	108	63	7		False News
77	Angka Nol Nomor Urut	Gerakan 7 juta status Tolak penggunaan angka 0 di depan nomor urut pasangan Capres. #tolakangkanol	2018-09-26 07:37:20+00:00	muslimahmazaya	12	9	2	#tolakangkanol	False News
78	Angka Nol Nomor Urut	maaf OOT... fokus ke ide nomor urut ditambah angka nol (0)...itu bahaya... setau saya program komputer bahasa mesin menggunakan sinyal angka nol dan 1...tidak ada angka lain selain itu ex : 01001 010 1100 0001, dsb... perlu dicurigai itu upaya kecurangan penggelembungan suara	2018-09-26 04:37:08+00:00	cincrot	13	8	0		False News
79	Angka Nol Nomor Urut	@Dahnilanzar semoga bisa dipertimbangkan kembali kepada para tim sukses dari pak Prabowo Subianto dan Sandiaga Uno tentang penggunaan angka 0 didepan nomor urut capres cawapres mumpung belum terlambat, ditakutkan akan terjadi kecurangan 	2018-09-25 10:27:29+00:00	KaEivan	5	8	0		False News
80	Angka Nol Nomor Urut	Alasannya penempatan angka 0, katanya utk membedakan spy tdk mixed up sm no. parpol?. Kalau ternyata ada bahaya kecurangan dgn penempatan angka 0 didepan 02, ayo para ahli IT/Komputer bikin rumusan yg dpt mencegah kecurangan tsb. Ayo..ayoo. #2019GantiPresiden #2019PrabowoSandi	2018-09-25 08:53:29+00:00	baharst28	9	5	3	#2019GantiPresiden #2019PrabowoSandi	False News
